[0605/171825.322:INFO:CONSOLE(0)] "Error with Permissions-Policy header: Unrecognized feature: 'interest-cohort'.", source:  (0)
[0605/171852.043:INFO:CONSOLE(1)] "http://w3c.org/Areas", source: http://theoldnet.com/browser/js/app.d17c66d0.js (1)
[0605/171852.043:INFO:CONSOLE(1)] "http://w3c.org/People/W3Cpeople.html", source: http://theoldnet.com/browser/js/app.d17c66d0.js (1)
[0605/171852.044:INFO:CONSOLE(1)] "http://w3c.org/TR/", source: http://theoldnet.com/browser/js/app.d17c66d0.js (1)
[0605/171852.044:INFO:CONSOLE(1)] "http://w3c.org/Consortium/Contact", source: http://theoldnet.com/browser/js/app.d17c66d0.js (1)
[0605/171852.044:INFO:CONSOLE(1)] "http://w3c.org/Status.html", source: http://theoldnet.com/browser/js/app.d17c66d0.js (1)
[0605/171852.044:INFO:CONSOLE(1)] "http://www.lcs.mit.edu/", source: http://theoldnet.com/browser/js/app.d17c66d0.js (1)
[0605/171852.044:INFO:CONSOLE(1)] "http://web.mit.edu/", source: http://theoldnet.com/browser/js/app.d17c66d0.js (1)
[0605/171852.044:INFO:CONSOLE(1)] "http://www.inria.fr/", source: http://theoldnet.com/browser/js/app.d17c66d0.js (1)
[0605/171852.044:INFO:CONSOLE(1)] "http://www.keio.ac.jp/", source: http://theoldnet.com/browser/js/app.d17c66d0.js (1)
[0605/171852.045:INFO:CONSOLE(1)] "http://w3c.org/Consortium/Prospectus/DARPA.html", source: http://theoldnet.com/browser/js/app.d17c66d0.js (1)
[0605/171852.045:INFO:CONSOLE(1)] "http://europa.eu.Int/", source: http://theoldnet.com/browser/js/app.d17c66d0.js (1)
[0605/171852.045:INFO:CONSOLE(1)] "http://www.lcs.mit.edu/", source: http://theoldnet.com/browser/js/app.d17c66d0.js (1)
[0605/171852.045:INFO:CONSOLE(1)] "http://www.inria.fr/", source: http://theoldnet.com/browser/js/app.d17c66d0.js (1)
[0605/171852.045:INFO:CONSOLE(1)] "http://www.keio.ac.jp/", source: http://theoldnet.com/browser/js/app.d17c66d0.js (1)
[0605/171852.045:INFO:CONSOLE(1)] "http://www.arpa.mil/", source: http://theoldnet.com/browser/js/app.d17c66d0.js (1)
[0605/171852.045:INFO:CONSOLE(1)] "http://europa.eu.Int/", source: http://theoldnet.com/browser/js/app.d17c66d0.js (1)
[0605/171852.046:INFO:CONSOLE(1)] "http://validator.w3.org/", source: http://theoldnet.com/browser/js/app.d17c66d0.js (1)
[0605/171852.046:INFO:CONSOLE(1)] "http://w3c.org/Help/", source: http://theoldnet.com/browser/js/app.d17c66d0.js (1)
[0605/171852.046:INFO:CONSOLE(1)] "http://w3c.org/People/Khudairi", source: http://theoldnet.com/browser/js/app.d17c66d0.js (1)
[0605/171852.046:INFO:CONSOLE(1)] "http://web.archive.org/web/19980114162644id_/http://w3c.org/Consortium/Legal/ipr-notice.html#Copyright", source: http://theoldnet.com/browser/js/app.d17c66d0.js (1)
[0605/171852.046:INFO:CONSOLE(1)] "http://www.w3.org", source: http://theoldnet.com/browser/js/app.d17c66d0.js (1)
[0605/171852.046:INFO:CONSOLE(1)] "http://www.lcs.mit.edu", source: http://theoldnet.com/browser/js/app.d17c66d0.js (1)
[0605/171852.046:INFO:CONSOLE(1)] "http://www.inria.fr/", source: http://theoldnet.com/browser/js/app.d17c66d0.js (1)
[0605/171852.046:INFO:CONSOLE(1)] "http://www.keio.ac.jp/", source: http://theoldnet.com/browser/js/app.d17c66d0.js (1)
[0605/171852.047:INFO:CONSOLE(1)] "http://web.archive.org/web/19980114162644id_/http://w3c.org/Consortium/Legal/ipr-notice.html#Legal%20Disclaimer", source: http://theoldnet.com/browser/js/app.d17c66d0.js (1)
[0605/171852.047:INFO:CONSOLE(1)] "http://web.archive.org/web/19980114162644id_/http://w3c.org/Consortium/Legal/ipr-notice.html#W3C%20Trademarks", source: http://theoldnet.com/browser/js/app.d17c66d0.js (1)
[0605/171852.047:INFO:CONSOLE(1)] "http://w3c.org/Consortium/Legal/copyright-documents.html", source: http://theoldnet.com/browser/js/app.d17c66d0.js (1)
[0605/171852.047:INFO:CONSOLE(1)] "http://w3c.org/Consortium/Legal/copyright-software.html", source: http://theoldnet.com/browser/js/app.d17c66d0.js (1)
[0605/171852.047:INFO:CONSOLE(1)] "http://web.archive.org/web/19980114162644id_/http://w3c.org/Consortium/Legal/privacy-statement.html#Public", source: http://theoldnet.com/browser/js/app.d17c66d0.js (1)
[0605/171852.047:INFO:CONSOLE(1)] "http://web.archive.org/web/19980114162644id_/http://w3c.org/Consortium/Legal/privacy-statement.html#Members", source: http://theoldnet.com/browser/js/app.d17c66d0.js (1)
[0605/171859.590:INFO:CONSOLE(1)] "getting about:theoldnet", source: http://theoldnet.com/browser/js/app.d17c66d0.js (1)
[0605/171859.591:INFO:CONSOLE(1)] "getting about:theoldnet", source: http://theoldnet.com/browser/js/app.d17c66d0.js (1)
[0605/171859.591:INFO:CONSOLE(1)] "UPDATE DOCUMENT", source: http://theoldnet.com/browser/js/app.d17c66d0.js (1)
[0605/171859.591:INFO:CONSOLE(1)] "new html", source: http://theoldnet.com/browser/js/app.d17c66d0.js (1)
[0605/171859.592:INFO:CONSOLE(1)] "[object HTMLCollection]", source: http://theoldnet.com/browser/js/app.d17c66d0.js (1)
[0605/171907.075:INFO:CONSOLE(1)] "getting nintendo.com", source: http://theoldnet.com/browser/js/app.d17c66d0.js (1)
[0605/171907.075:INFO:CONSOLE(1)] "getting nintendo.com", source: http://theoldnet.com/browser/js/app.d17c66d0.js (1)
[0605/171907.076:INFO:CONSOLE(1)] "setting loading from nav true", source: http://theoldnet.com/browser/js/app.d17c66d0.js (1)
[0605/171907.076:INFO:CONSOLE(1)] "setting loading to true", source: http://theoldnet.com/browser/js/app.d17c66d0.js (1)
[0605/171907.077:INFO:CONSOLE(1)] "Footer loading? true false", source: http://theoldnet.com/browser/js/app.d17c66d0.js (1)
[0605/171907.077:INFO:CONSOLE(1)] "timer 7", source: http://theoldnet.com/browser/js/app.d17c66d0.js (1)
